"lienhub_account_no","lienhub_cert_number","lienhub_face_amount","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","lienhub_status","live_match_found","live_snapshot_date","live_total_due","live_zip","still_delinquent"
"038084-0000","","2000.56","","9135 DEVONSHIRE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"136318-0000","","2000.7","","1801 VALENCIA DR JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"108094-0610","","2001.59","","14372 DENTON RD JACKSONVILLE 32226-","","32226-","","False","","0","","False"
"086651-0000","","2005.06","","1350 W 26TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"051305-0000","","2005.37","","1650 E COLLEGE CIR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"056996-0000","","2005.41","","3263 NOLAN ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"070327-0000","","2005.66","","1756 BREWSTER RD JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"085747-0000","","2005.85","","5706 MONCRIEF RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"115655-0000","","2005.9","","1623 E 12TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"028042-0000","","2006.1","","5831 BEGONIA RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"036070-0000","","2006.41","","9076 1ST AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"047377-0000","","2007.05","","2086 KINGS RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"030832-0000","","2007.2","","3181 BRASQUE DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"000502-0010","","2008.28","","375 CLARK ST BALDWIN 32234-","","32234-","","False","","0","","False"
"046709-0000","","2009.25","","2811 MONCRIEF RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"016355-0100","","2009.49","","7480 S OLD MIDDLEBURG RD JACKSONVILLE 32222-","","32222-","","False","","0","","False"
"024069-0000","","2009.84","","7880 PAUL REVERE DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"153699-0000","","2010.2","","5514 BOEING DR JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"038267-0000","","2010.86","","4510 WILLIAMSBURG AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"049987-0010","","2010.9","","1836 ALFEN ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"144251-0000","","2011.41","","7723 FREE AVE JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"030532-0000","","2011.55","","5434 CALLOWAY CT JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"107413-0000","","2012.11","","12739 N MAIN ST JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"028136-0000","","2012.42","","5737 HOLLYHOCK RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"075709-0010","","2013.64","","1100 W STATE ST JACKSONVILLE 32204-","","32204-","","False","","0","","False"
"136901-0000","","2015.94","","8026 EBERSOL RD JACKSONVILLE 32216-","","32216-","","False","","0","","False"
"083934-0000","","2016.03","","5104 POTOMAC AVE JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"026683-0010","","2016.36","","7640 PICKETT ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"056806-0000","","2016.71","","2557 LOWELL AVE JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"002929-0300","","2017.54","","7645 CRANBROOKE RD JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"027912-0000","","2017.82","","2339 BROOKLYN RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"029377-0020","","2018.6","","9134 RIDGE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"059482-0000","","2019.56","","5074 ANDREWS ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"051904-0000","","2019.64","","1719 W 5TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"031446-0000","","2019.87","","153 E 43RD ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"016106-0020","","2020.24","","8544 TAYLOR FIELD RD JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"002833-0078","","2020.37","","10045 PAXTON RD JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"084596-0000","","2021.54","","3611 N DAVIS ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"031055-0000","","2023.58","","6293 E PETTIFORD DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"010426-0000","","2025.62","","LE MANS DR JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"037409-0000","","2025.72","","8715 ADAMS AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"167741-7914","","2026.43","","10901 BURNT MILL RD 2701 JACKSONVILLE 32256-","","32256-","","False","","0","","False"
"032003-0000","","2027.64","","4714 W CASTLEWOOD DR JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"159880-0090","","2027.77","","7171 CEDAR POINT RD JACKSONVILLE 32226-","","32226-","","False","","0","","False"
"103529-5794","","2028.04","","5558 N CABOT DR JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"073230-0000","","2028.69","","225 W 11TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"004258-0030","","2028.8","","11748 V C JOHNSON RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"034199-0000","","2029.23","","145 E 54TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"154547-0500","","2029.24","","8623 SYNHOFF DR JACKSONVILLE 32216-","","32216-","","False","","0","","False"
"040664-0000","","2029.9","","4819 TENNESSEE ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"059747-0000","","2030.24","","5142 ASTRAL ST JACKSONVILLE 32205-","","32205-","","False","","0","","False"
"053452-0000","","2030.44","","1176 N DURKEE DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"023866-0000","","2031.16","","7805 E CONCORD BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"023793-0000","","2031.53","","8023 LEXINGTON DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"047687-0005","","2031.84","","4037 MARLO ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"056990-0000","","2032.53","","3232 DIGNAN ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"000851-0010","","2032.94","","374 S US 301 HWY BALDWIN 32234-","","32234-","","False","","0","","False"
"038080-0000","","2033.54","","9213 DEVONSHIRE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"030405-0000","","2033.62","","4816 BOOKER ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"068969-0000","","2034.3","","4654 WHEELER AVE JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"143700-0000","","2034.47","","8423 HARE AVE JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"120540-0000","","2034.8","","7405 S BURLINGAME DR JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"031808-0000","","2035.35","","738 LYNTON ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"030962-0000","","2037.26","","5503 EARTHA DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"023393-0000","","2038.06","","1129 BRANDYWINE ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"109646-0010","","2039.24","","11803 CREEK BLVD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"028596-0000","","2039.46","","2735 BEGONIA RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"000650-0014","","2042.54","","793 RAINER RD BALDWIN 32234-","","32234-","","False","","0","","False"
"160671-5415","","2042.94","","12067 SAVERIO LN JACKSONVILLE 32225-","","32225-","","False","","0","","False"
"019432-0000","","2043.47","","13804 LEM TURNER RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"122842-0050","","2044.34","","435 JESSIE ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"164799-0000","","2045.54","","1955 SUNRISE DR JACKSONVILLE 32246-","","32246-","","False","","0","","False"
"071064-0000","","2045.55","","33 W 4TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"029700-0600","","2047.57","","2039 JAYSON AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"132519-0000","","2047.86","","1521 E 27TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"060520-0000","","2048.71","","4054 DELLWOOD AVE JACKSONVILLE 32205-","","32205-","","False","","0","","False"
"003697-0000","","2049.95","","7625 OWL RD JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"016104-0020","","2050.09","","8549 WALDEN RD JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"103134-0000","","2050.12","","5219 EULACE RD JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"031969-0000","","2050.52","","4511 E MARLBORO CIR JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"145074-0000","","2051.42","","51 JOHNSTON AVE JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"053405-0000","","2052.32","","2115 MYRTLE AVE JACKSONVILLE 32209-","","32209-","","False","","0","","False"
