"parcel","normalized_id","max_months_out","has_tda","threat_level"
"000081-0000","0000810000","21","False","3_18mths_or_more_no_tda"
"000426-0005","0004260005","19","False","3_18mths_or_more_no_tda"
"000472-1020","0004721020","22","False","3_18mths_or_more_no_tda"
"000531-0190","0005310190","22","False","3_18mths_or_more_no_tda"
"000650-0014","0006500014","22","False","3_18mths_or_more_no_tda"
"000771-0000","0007710000","32","False","3_18mths_or_more_no_tda"
"000969-0080","0009690080","22","False","3_18mths_or_more_no_tda"
"000971-1010","0009711010","23","False","3_18mths_or_more_no_tda"
"001215-0010","0012150010","22","False","3_18mths_or_more_no_tda"
"001265-0000","0012650000","22","False","3_18mths_or_more_no_tda"
"001296-0000","0012960000","22","False","3_18mths_or_more_no_tda"
"001638-0080","0016380080","22","False","3_18mths_or_more_no_tda"
"001929-0100","0019290100","22","False","3_18mths_or_more_no_tda"
"001930-0010","0019300010","22","False","3_18mths_or_more_no_tda"
"002055-0000","0020550000","21","False","3_18mths_or_more_no_tda"
"002128-0200","0021280200","22","False","3_18mths_or_more_no_tda"
"002151-0000","0021510000","22","False","3_18mths_or_more_no_tda"
"002331-0000","0023310000","47","True","1_TaxDeedApplication"
"002490-0010","0024900010","22","False","3_18mths_or_more_no_tda"
"002673-0100","0026730100","22","False","3_18mths_or_more_no_tda"
"002861-0090","0028610090","23","True","1_TaxDeedApplication"
"002893-1000","0028931000","23","False","3_18mths_or_more_no_tda"
"002929-0300","0029290300","22","False","3_18mths_or_more_no_tda"
"003297-0000","0032970000","23","False","3_18mths_or_more_no_tda"
"003323-7540","0033237540","23","False","3_18mths_or_more_no_tda"
"003449-3405","0034493405","22","False","3_18mths_or_more_no_tda"
"003475-0000","0034750000","0","False","0_None"
"003784-2270","0037842270","22","False","3_18mths_or_more_no_tda"
"004018-0600","0040180600","22","False","3_18mths_or_more_no_tda"
"004264-0590","0042640590","0","False","0_None"
"004264-0900","0042640900","0","False","0_None"
"004308-0120","0043080120","23","False","3_18mths_or_more_no_tda"
"004320-0060","0043200060","22","False","3_18mths_or_more_no_tda"
"004410-1000","0044101000","23","False","3_18mths_or_more_no_tda"
"004433-0000","0044330000","22","False","3_18mths_or_more_no_tda"
"004519-1990","0045191990","23","False","3_18mths_or_more_no_tda"
"004746-0170","0047460170","23","False","3_18mths_or_more_no_tda"
"004752-0020","0047520020","22","False","3_18mths_or_more_no_tda"
"004860-0000","0048600000","22","False","3_18mths_or_more_no_tda"
"005737-0000","0057370000","25","True","1_TaxDeedApplication"
"006029-0000","0060290000","23","False","3_18mths_or_more_no_tda"
"006319-0170","0063190170","35","False","3_18mths_or_more_no_tda"
"006345-0000","0063450000","23","False","3_18mths_or_more_no_tda"
