"lienhub_account_no","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","live_total_due","live_zip","live_snapshot_date","lienhub_status","still_delinquent"
"038753-0000","","9526 DEVONSHIRE BLVD JACKSONVILLE 32208-","","32208-","4472.32","32277","2025-12-10","","True"
"024586-0000","","1637 CHATHAM RD JACKSONVILLE 32208-","","32208-","6909.28","32256","2025-12-10","","True"
"024864-0000","","7834 W DENHAM RD JACKSONVILLE 32208-","","32208-","2341.22","32256","2025-12-10","","True"
"017040-0000","","6733 CINDERELLA RD JACKSONVILLE 32210-","","32210-","5495.62","32226","2025-12-10","","True"
"016904-0000","","6813 TOM THUMB DR JACKSONVILLE 32210-","","32210-","5802.56","32226","2025-12-10","","True"
"000472-1020","","183 E MAY ST BALDWIN 32234-","","32234-","9592.69","32254","2025-12-10","","True"
"004425-0000","","6916 KEITHAN RD JACKSONVILLE 32220-","","32220-","3168.53","32216","2025-12-10","","True"
"014603-4560","","6325 W CRANBERRY LN JACKSONVILLE 32244-","","32244-","7070.77","32226","2025-12-10","","True"
"019622-0130","","11614 CHAPPARELL RD JACKSONVILLE 32218-","","32218-","7092.11","32223","2025-12-10","","True"
"014603-1318","","6025 W GULF RD JACKSONVILLE 32244-","","32244-","7287.38","32226","2025-12-10","","True"
