"lienhub_parcel","lienhub_owner","lienhub_face_amount","algolia_total_due","algolia_public_url"
"038753-0000","","2162.83","4472.32","/public/real_estate/parcels/038753-0000/bills?parcel=d368aa34-fb56-11eb-9f84-3e1d30c29268"
"024586-0000","","2238.35","6909.28","/public/real_estate/parcels/024586-0000/bills?parcel=d3c8e9a4-fb55-11eb-9d3b-13a3343f3ddd"
"024864-0000","","2402.68","2341.22","/public/real_estate/parcels/024864-0000/bills?parcel=a79fb5e4-fb58-11eb-b65f-2880b5ad6f0f"
"017040-0000","","2685.88","5495.62","/public/real_estate/parcels/017040-0000/bills?parcel=7265ae16-fb57-11eb-b82a-d1b7b81f93d6"
"016904-0000","","2838.75","5802.56","/public/real_estate/parcels/016904-0000/bills?parcel=e674cd7a-fb5a-11eb-923b-ca18730ea2b1"
"000472-1020","","3068.85","9592.69","/public/real_estate/parcels/000472-1020/bills?parcel=cf3978a0-fb54-11eb-9bad-350a30c29268"
"004425-0000","","3229.64","3168.53","/public/real_estate/parcels/004425-0000/bills?parcel=7530a25e-fb57-11eb-b74b-9e74b5ad6f0f"
"014603-4560","","3479.91","7070.77","/public/real_estate/parcels/014603-4560/bills?parcel=c87cbf20-fb56-11eb-a59e-e395357d90b8"
"019622-0130","","3511.52","7092.11","/public/real_estate/parcels/019622-0130/bills?parcel=ff3ca8ea-fb56-11eb-926e-f097357d90b8"
"014603-1318","","3588.78","7287.38","/public/real_estate/parcels/014603-1318/bills?parcel=60a8ddd4-fb5b-11eb-913f-785011191a0e"
"029913-0000","","5670.33","11238.58","/public/real_estate/parcels/029913-0000/bills?parcel=6562b6fc-fb55-11eb-9c24-4dbc2e46ee58"
