"account_no","adv_no","lienhub_owner","situs_address","situs_city","situs_zip","cert_number","face_amount","live_match_found","live_total_due","bill_years","still_delinquent"
"038084-0000","7647","","9135 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2000.56","False","0",,"False"
"136318-0000","20677","","1801 VALENCIA DR JACKSONVILLE 32207-",,"32207-",,"2000.7","False","0",,"False"
"108094-0610","17419","","14372 DENTON RD JACKSONVILLE 32226-",,"32226-",,"2001.59","False","0",,"False"
"086651-0000","14916","","1350 W 26TH ST JACKSONVILLE 32209-",,"32209-",,"2005.06","False","0",,"False"
"051305-0000","10441","","1650 E COLLEGE CIR JACKSONVILLE 32209-",,"32209-",,"2005.37","False","0",,"False"
"056996-0000","11565","","3263 NOLAN ST JACKSONVILLE 32254-",,"32254-",,"2005.41","False","0",,"False"
"070327-0000","12871","","1756 BREWSTER RD JACKSONVILLE 32207-",,"32207-",,"2005.66","False","0",,"False"
"085747-0000","14703","","5706 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2005.85","False","0",,"False"
"115655-0000","18593","","1623 E 12TH ST JACKSONVILLE 32206-",,"32206-",,"2005.9","False","0",,"False"
"028042-0000","5784","","5831 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2006.1","False","0",,"False"
"036070-0000","7271","","9076 1ST AVE JACKSONVILLE 32208-",,"32208-",,"2006.41","False","0",,"False"
"047377-0000","9596","","2086 KINGS RD JACKSONVILLE 32209-",,"32209-",,"2007.05","False","0",,"False"
"030832-0000","6450","","3181 BRASQUE DR JACKSONVILLE 32209-",,"32209-",,"2007.2","False","0",,"False"
"000502-0010","82","","375 CLARK ST BALDWIN 32234-",,"32234-",,"2008.28","False","0",,"False"
"046709-0000","9422","","2811 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2009.25","False","0",,"False"
"016355-0100","3603","","7480 S OLD MIDDLEBURG RD JACKSONVILLE 32222-",,"32222-",,"2009.49","False","0",,"False"
"024069-0000","5080","","7880 PAUL REVERE DR JACKSONVILLE 32208-",,"32208-",,"2009.84","False","0",,"False"
"153699-0000","22551","","5514 BOEING DR JACKSONVILLE 32207-",,"32207-",,"2010.2","False","0",,"False"
"038267-0000","7674","","4510 WILLIAMSBURG AVE JACKSONVILLE 32208-",,"32208-",,"2010.86","False","0",,"False"
"049987-0010","10154","","1836 ALFEN ST JACKSONVILLE 32254-",,"32254-",,"2010.9","False","0",,"False"
"144251-0000","21255","","7723 FREE AVE JACKSONVILLE 32211-",,"32211-",,"2011.41","False","0",,"False"
"030532-0000","6400","","5434 CALLOWAY CT JACKSONVILLE 32209-",,"32209-",,"2011.55","False","0",,"False"
"107413-0000","17260","","12739 N MAIN ST JACKSONVILLE 32218-",,"32218-",,"2012.11","False","0",,"False"
"028136-0000","5807","","5737 HOLLYHOCK RD JACKSONVILLE 32209-",,"32209-",,"2012.42","False","0",,"False"
"075709-0010","13378","","1100 W STATE ST JACKSONVILLE 32204-",,"32204-",,"2013.64","False","0",,"False"
"136901-0000","20737","","8026 EBERSOL RD JACKSONVILLE 32216-",,"32216-",,"2015.94","False","0",,"False"
"083934-0000","14236","","5104 POTOMAC AVE JACKSONVILLE 32254-",,"32254-",,"2016.03","False","0",,"False"
"026683-0010","5500","","7640 PICKETT ST JACKSONVILLE 32208-",,"32208-",,"2016.36","False","0",,"False"
"056806-0000","11534","","2557 LOWELL AVE JACKSONVILLE 32254-",,"32254-",,"2016.71","False","0",,"False"
"002929-0300","751","","7645 CRANBROOKE RD JACKSONVILLE 32219-",,"32219-",,"2017.54","False","0",,"False"
"027912-0000","5757","","2339 BROOKLYN RD JACKSONVILLE 32209-",,"32209-",,"2017.82","False","0",,"False"
"029377-0020","6104","","9134 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2018.6","False","0",,"False"
"059482-0000","11999","","5074 ANDREWS ST JACKSONVILLE 32254-",,"32254-",,"2019.56","False","0",,"False"
"051904-0000","10587","","1719 W 5TH ST JACKSONVILLE 32209-",,"32209-",,"2019.64","False","0",,"False"
"031446-0000","6559","","153 E 43RD ST JACKSONVILLE 32208-",,"32208-",,"2019.87","False","0",,"False"
"016106-0020","3506","","8544 TAYLOR FIELD RD JACKSONVILLE 32244-",,"32244-",,"2020.24","False","0",,"False"
"002833-0078","689","","10045 PAXTON RD JACKSONVILLE 32219-",,"32219-",,"2020.37","False","0",,"False"
"084596-0000","14398","","3611 N DAVIS ST JACKSONVILLE 32209-",,"32209-",,"2021.54","False","0",,"False"
"031055-0000","6499","","6293 E PETTIFORD DR JACKSONVILLE 32209-",,"32209-",,"2023.58","False","0",,"False"
"010426-0000","2184","","LE MANS DR JACKSONVILLE 32210-",,"32210-",,"2025.62","False","0",,"False"
"037409-0000","7505","","8715 ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2025.72","False","0",,"False"
"167741-7914","25489","","10901 BURNT MILL RD 2701 JACKSONVILLE 32256-",,"32256-",,"2026.43","False","0",,"False"
"032003-0000","6653","","4714 W CASTLEWOOD DR JACKSONVILLE 32206-",,"32206-",,"2027.64","False","0",,"False"
"159880-0090","23798","","7171 CEDAR POINT RD JACKSONVILLE 32226-",,"32226-",,"2027.77","False","0",,"False"
"103529-5794","16600","","5558 N CABOT DR JACKSONVILLE 32244-",,"32244-",,"2028.04","False","0",,"False"
"073230-0000","13217","","225 W 11TH ST JACKSONVILLE 32206-",,"32206-",,"2028.69","False","0",,"False"
"004258-0030","1113","","11748 V C JOHNSON RD JACKSONVILLE 32218-",,"32218-",,"2028.8","False","0",,"False"
"034199-0000","6982","","145 E 54TH ST JACKSONVILLE 32208-",,"32208-",,"2029.23","False","0",,"False"
"154547-0500","22817","","8623 SYNHOFF DR JACKSONVILLE 32216-",,"32216-",,"2029.24","False","0",,"False"
"040664-0000","8228","","4819 TENNESSEE ST JACKSONVILLE 32209-",,"32209-",,"2029.9","False","0",,"False"
"059747-0000","12032","","5142 ASTRAL ST JACKSONVILLE 32205-",,"32205-",,"2030.24","False","0",,"False"
"053452-0000","10918","","1176 N DURKEE DR JACKSONVILLE 32209-",,"32209-",,"2030.44","False","0",,"False"
"023866-0000","5055","","7805 E CONCORD BLVD JACKSONVILLE 32208-",,"32208-",,"2031.16","False","0",,"False"
"023793-0000","5048","","8023 LEXINGTON DR JACKSONVILLE 32208-",,"32208-",,"2031.53","False","0",,"False"
"047687-0005","9681","","4037 MARLO ST JACKSONVILLE 32209-",,"32209-",,"2031.84","False","0",,"False"
"056990-0000","11562","","3232 DIGNAN ST JACKSONVILLE 32254-",,"32254-",,"2032.53","False","0",,"False"
"000851-0010","121","","374 S US 301 HWY BALDWIN 32234-",,"32234-",,"2032.94","False","0",,"False"
"038080-0000","7645","","9213 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2033.54","False","0",,"False"
"030405-0000","27012","","4816 BOOKER ST JACKSONVILLE 32209-",,"32209-",,"2033.62","False","0",,"False"
"068969-0000","12752","","4654 WHEELER AVE JACKSONVILLE 32210-",,"32210-",,"2034.3","False","0",,"False"
"143700-0000","21194","","8423 HARE AVE JACKSONVILLE 32211-",,"32211-",,"2034.47","False","0",,"False"
"120540-0000","18922","","7405 S BURLINGAME DR JACKSONVILLE 32211-",,"32211-",,"2034.8","False","0",,"False"
"031808-0000","6621","","738 LYNTON ST JACKSONVILLE 32208-",,"32208-",,"2035.35","False","0",,"False"
"030962-0000","6467","","5503 EARTHA DR JACKSONVILLE 32209-",,"32209-",,"2037.26","False","0",,"False"
"023393-0000","4989","","1129 BRANDYWINE ST JACKSONVILLE 32208-",,"32208-",,"2038.06","False","0",,"False"
"109646-0010","17737","","11803 CREEK BLVD JACKSONVILLE 32218-",,"32218-",,"2039.24","False","0",,"False"
"028596-0000","5916","","2735 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2039.46","False","0",,"False"
"000650-0014","99","","793 RAINER RD BALDWIN 32234-",,"32234-",,"2042.54","False","0",,"False"
"160671-5415","23887","","12067 SAVERIO LN JACKSONVILLE 32225-",,"32225-",,"2042.94","False","0",,"False"
