"lienhub_parcel","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","lienhub_cert_number","lienhub_face_amount","lienhub_status","live_match_found","live_total_due","live_bill_years","still_delinquent"
"","","9135 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2000.56","","False","0",,"False"
"","","1801 VALENCIA DR JACKSONVILLE 32207-",,"32207-",,"2000.7","","False","0",,"False"
"","","14372 DENTON RD JACKSONVILLE 32226-",,"32226-",,"2001.59","","False","0",,"False"
"","","1350 W 26TH ST JACKSONVILLE 32209-",,"32209-",,"2005.06","","False","0",,"False"
"","","1650 E COLLEGE CIR JACKSONVILLE 32209-",,"32209-",,"2005.37","","False","0",,"False"
"","","3263 NOLAN ST JACKSONVILLE 32254-",,"32254-",,"2005.41","","False","0",,"False"
"","","1756 BREWSTER RD JACKSONVILLE 32207-",,"32207-",,"2005.66","","False","0",,"False"
"","","5706 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2005.85","","False","0",,"False"
"","","1623 E 12TH ST JACKSONVILLE 32206-",,"32206-",,"2005.9","","False","0",,"False"
"","","5831 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2006.1","","False","0",,"False"
"","","9076 1ST AVE JACKSONVILLE 32208-",,"32208-",,"2006.41","","False","0",,"False"
"","","2086 KINGS RD JACKSONVILLE 32209-",,"32209-",,"2007.05","","False","0",,"False"
"","","3181 BRASQUE DR JACKSONVILLE 32209-",,"32209-",,"2007.2","","False","0",,"False"
"","","375 CLARK ST BALDWIN 32234-",,"32234-",,"2008.28","","False","0",,"False"
"","","2811 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2009.25","","False","0",,"False"
"","","7480 S OLD MIDDLEBURG RD JACKSONVILLE 32222-",,"32222-",,"2009.49","","False","0",,"False"
"","","7880 PAUL REVERE DR JACKSONVILLE 32208-",,"32208-",,"2009.84","","False","0",,"False"
"","","5514 BOEING DR JACKSONVILLE 32207-",,"32207-",,"2010.2","","False","0",,"False"
"","","4510 WILLIAMSBURG AVE JACKSONVILLE 32208-",,"32208-",,"2010.86","","False","0",,"False"
"","","1836 ALFEN ST JACKSONVILLE 32254-",,"32254-",,"2010.9","","False","0",,"False"
"","","7723 FREE AVE JACKSONVILLE 32211-",,"32211-",,"2011.41","","False","0",,"False"
"","","5434 CALLOWAY CT JACKSONVILLE 32209-",,"32209-",,"2011.55","","False","0",,"False"
"","","12739 N MAIN ST JACKSONVILLE 32218-",,"32218-",,"2012.11","","False","0",,"False"
"","","5737 HOLLYHOCK RD JACKSONVILLE 32209-",,"32209-",,"2012.42","","False","0",,"False"
"","","1100 W STATE ST JACKSONVILLE 32204-",,"32204-",,"2013.64","","False","0",,"False"
"","","8026 EBERSOL RD JACKSONVILLE 32216-",,"32216-",,"2015.94","","False","0",,"False"
"","","5104 POTOMAC AVE JACKSONVILLE 32254-",,"32254-",,"2016.03","","False","0",,"False"
"","","7640 PICKETT ST JACKSONVILLE 32208-",,"32208-",,"2016.36","","False","0",,"False"
"","","2557 LOWELL AVE JACKSONVILLE 32254-",,"32254-",,"2016.71","","False","0",,"False"
"","","7645 CRANBROOKE RD JACKSONVILLE 32219-",,"32219-",,"2017.54","","False","0",,"False"
"","","2339 BROOKLYN RD JACKSONVILLE 32209-",,"32209-",,"2017.82","","False","0",,"False"
"","","9134 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2018.6","","False","0",,"False"
"","","5074 ANDREWS ST JACKSONVILLE 32254-",,"32254-",,"2019.56","","False","0",,"False"
"","","1719 W 5TH ST JACKSONVILLE 32209-",,"32209-",,"2019.64","","False","0",,"False"
"","","153 E 43RD ST JACKSONVILLE 32208-",,"32208-",,"2019.87","","False","0",,"False"
"","","8544 TAYLOR FIELD RD JACKSONVILLE 32244-",,"32244-",,"2020.24","","False","0",,"False"
"","","10045 PAXTON RD JACKSONVILLE 32219-",,"32219-",,"2020.37","","False","0",,"False"
"","","3611 N DAVIS ST JACKSONVILLE 32209-",,"32209-",,"2021.54","","False","0",,"False"
"","","6293 E PETTIFORD DR JACKSONVILLE 32209-",,"32209-",,"2023.58","","False","0",,"False"
"","","LE MANS DR JACKSONVILLE 32210-",,"32210-",,"2025.62","","False","0",,"False"
"","","8715 ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2025.72","","False","0",,"False"
"","","10901 BURNT MILL RD 2701 JACKSONVILLE 32256-",,"32256-",,"2026.43","","False","0",,"False"
"","","4714 W CASTLEWOOD DR JACKSONVILLE 32206-",,"32206-",,"2027.64","","False","0",,"False"
"","","7171 CEDAR POINT RD JACKSONVILLE 32226-",,"32226-",,"2027.77","","False","0",,"False"
"","","5558 N CABOT DR JACKSONVILLE 32244-",,"32244-",,"2028.04","","False","0",,"False"
"","","225 W 11TH ST JACKSONVILLE 32206-",,"32206-",,"2028.69","","False","0",,"False"
"","","11748 V C JOHNSON RD JACKSONVILLE 32218-",,"32218-",,"2028.8","","False","0",,"False"
"","","145 E 54TH ST JACKSONVILLE 32208-",,"32208-",,"2029.23","","False","0",,"False"
"","","8623 SYNHOFF DR JACKSONVILLE 32216-",,"32216-",,"2029.24","","False","0",,"False"
"","","4819 TENNESSEE ST JACKSONVILLE 32209-",,"32209-",,"2029.9","","False","0",,"False"
"","","5142 ASTRAL ST JACKSONVILLE 32205-",,"32205-",,"2030.24","","False","0",,"False"
"","","1176 N DURKEE DR JACKSONVILLE 32209-",,"32209-",,"2030.44","","False","0",,"False"
"","","7805 E CONCORD BLVD JACKSONVILLE 32208-",,"32208-",,"2031.16","","False","0",,"False"
"","","8023 LEXINGTON DR JACKSONVILLE 32208-",,"32208-",,"2031.53","","False","0",,"False"
"","","4037 MARLO ST JACKSONVILLE 32209-",,"32209-",,"2031.84","","False","0",,"False"
"","","3232 DIGNAN ST JACKSONVILLE 32254-",,"32254-",,"2032.53","","False","0",,"False"
"","","374 S US 301 HWY BALDWIN 32234-",,"32234-",,"2032.94","","False","0",,"False"
"","","9213 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2033.54","","False","0",,"False"
"","","4816 BOOKER ST JACKSONVILLE 32209-",,"32209-",,"2033.62","","False","0",,"False"
"","","4654 WHEELER AVE JACKSONVILLE 32210-",,"32210-",,"2034.3","","False","0",,"False"
"","","8423 HARE AVE JACKSONVILLE 32211-",,"32211-",,"2034.47","","False","0",,"False"
"","","7405 S BURLINGAME DR JACKSONVILLE 32211-",,"32211-",,"2034.8","","False","0",,"False"
"","","738 LYNTON ST JACKSONVILLE 32208-",,"32208-",,"2035.35","","False","0",,"False"
"","","5503 EARTHA DR JACKSONVILLE 32209-",,"32209-",,"2037.26","","False","0",,"False"
"","","1129 BRANDYWINE ST JACKSONVILLE 32208-",,"32208-",,"2038.06","","False","0",,"False"
"","","11803 CREEK BLVD JACKSONVILLE 32218-",,"32218-",,"2039.24","","False","0",,"False"
"","","2735 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2039.46","","False","0",,"False"
"","","793 RAINER RD BALDWIN 32234-",,"32234-",,"2042.54","","False","0",,"False"
"","","12067 SAVERIO LN JACKSONVILLE 32225-",,"32225-",,"2042.94","","False","0",,"False"
"","","13804 LEM TURNER RD JACKSONVILLE 32218-",,"32218-",,"2043.47","","False","0",,"False"
"","","435 JESSIE ST JACKSONVILLE 32206-",,"32206-",,"2044.34","","False","0",,"False"
"","","1955 SUNRISE DR JACKSONVILLE 32246-",,"32246-",,"2045.54","","False","0",,"False"
"","","33 W 4TH ST JACKSONVILLE 32206-",,"32206-",,"2045.55","","False","0",,"False"
"","","2039 JAYSON AVE JACKSONVILLE 32208-",,"32208-",,"2047.57","","False","0",,"False"
"","","1521 E 27TH ST JACKSONVILLE 32206-",,"32206-",,"2047.86","","False","0",,"False"
"","","4054 DELLWOOD AVE JACKSONVILLE 32205-",,"32205-",,"2048.71","","False","0",,"False"
"","","7625 OWL RD JACKSONVILLE 32219-",,"32219-",,"2049.95","","False","0",,"False"
"","","8549 WALDEN RD JACKSONVILLE 32244-",,"32244-",,"2050.09","","False","0",,"False"
"","","5219 EULACE RD JACKSONVILLE 32210-",,"32210-",,"2050.12","","False","0",,"False"
"","","4511 E MARLBORO CIR JACKSONVILLE 32206-",,"32206-",,"2050.52","","False","0",,"False"
"","","51 JOHNSTON AVE JACKSONVILLE 32211-",,"32211-",,"2051.42","","False","0",,"False"
"","","2115 MYRTLE AVE JACKSONVILLE 32209-",,"32209-",,"2052.32","","False","0",,"False"
