"lienhub_account_no","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","lienhub_cert_number","lienhub_face_amount","lienhub_status","live_match_found","live_total_due","live_zip","live_snapshot_date","still_delinquent"
"038084-0000","","9135 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2000.56","","False","0",,,"False"
"136318-0000","","1801 VALENCIA DR JACKSONVILLE 32207-",,"32207-",,"2000.7","","False","0",,,"False"
"108094-0610","","14372 DENTON RD JACKSONVILLE 32226-",,"32226-",,"2001.59","","False","0",,,"False"
"086651-0000","","1350 W 26TH ST JACKSONVILLE 32209-",,"32209-",,"2005.06","","False","0",,,"False"
"051305-0000","","1650 E COLLEGE CIR JACKSONVILLE 32209-",,"32209-",,"2005.37","","False","0",,,"False"
"056996-0000","","3263 NOLAN ST JACKSONVILLE 32254-",,"32254-",,"2005.41","","False","0",,,"False"
"070327-0000","","1756 BREWSTER RD JACKSONVILLE 32207-",,"32207-",,"2005.66","","False","0",,,"False"
"085747-0000","","5706 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2005.85","","False","0",,,"False"
"115655-0000","","1623 E 12TH ST JACKSONVILLE 32206-",,"32206-",,"2005.9","","False","0",,,"False"
"028042-0000","","5831 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2006.1","","False","0",,,"False"
"036070-0000","","9076 1ST AVE JACKSONVILLE 32208-",,"32208-",,"2006.41","","False","0",,,"False"
"047377-0000","","2086 KINGS RD JACKSONVILLE 32209-",,"32209-",,"2007.05","","False","0",,,"False"
"030832-0000","","3181 BRASQUE DR JACKSONVILLE 32209-",,"32209-",,"2007.2","","False","0",,,"False"
"000502-0010","","375 CLARK ST BALDWIN 32234-",,"32234-",,"2008.28","","False","0",,,"False"
"046709-0000","","2811 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2009.25","","False","0",,,"False"
"016355-0100","","7480 S OLD MIDDLEBURG RD JACKSONVILLE 32222-",,"32222-",,"2009.49","","False","0",,,"False"
"024069-0000","","7880 PAUL REVERE DR JACKSONVILLE 32208-",,"32208-",,"2009.84","","False","0",,,"False"
"153699-0000","","5514 BOEING DR JACKSONVILLE 32207-",,"32207-",,"2010.2","","False","0",,,"False"
"038267-0000","","4510 WILLIAMSBURG AVE JACKSONVILLE 32208-",,"32208-",,"2010.86","","False","0",,,"False"
"049987-0010","","1836 ALFEN ST JACKSONVILLE 32254-",,"32254-",,"2010.9","","False","0",,,"False"
"144251-0000","","7723 FREE AVE JACKSONVILLE 32211-",,"32211-",,"2011.41","","False","0",,,"False"
"030532-0000","","5434 CALLOWAY CT JACKSONVILLE 32209-",,"32209-",,"2011.55","","False","0",,,"False"
"107413-0000","","12739 N MAIN ST JACKSONVILLE 32218-",,"32218-",,"2012.11","","False","0",,,"False"
"028136-0000","","5737 HOLLYHOCK RD JACKSONVILLE 32209-",,"32209-",,"2012.42","","False","0",,,"False"
"075709-0010","","1100 W STATE ST JACKSONVILLE 32204-",,"32204-",,"2013.64","","False","0",,,"False"
"136901-0000","","8026 EBERSOL RD JACKSONVILLE 32216-",,"32216-",,"2015.94","","False","0",,,"False"
"083934-0000","","5104 POTOMAC AVE JACKSONVILLE 32254-",,"32254-",,"2016.03","","False","0",,,"False"
"026683-0010","","7640 PICKETT ST JACKSONVILLE 32208-",,"32208-",,"2016.36","","False","0",,,"False"
"056806-0000","","2557 LOWELL AVE JACKSONVILLE 32254-",,"32254-",,"2016.71","","False","0",,,"False"
"002929-0300","","7645 CRANBROOKE RD JACKSONVILLE 32219-",,"32219-",,"2017.54","","False","0",,,"False"
"027912-0000","","2339 BROOKLYN RD JACKSONVILLE 32209-",,"32209-",,"2017.82","","False","0",,,"False"
