"parcel","situs_address","situs_city","situs_zip","total_due_numeric","bill_years"
"022445-0005",,,,"2077.48",""
"024455-1675",,,,"0.0",""
"038214-0000",,,,"0.0",""
"000882-0000",,,,"881.54",""
"002651-1775",,,,"729.32",""
"004025-2410",,,,"0.0",""
"012233-0000",,,,"0.0",""
"012626-0000",,,,"1291.6",""
"015330-0010",,,,"2371.45",""
"145159-0020",,,,"3544.52",""
"971270-7300",,,,"0.0",""
"971450-6600",,,,"0.0",""
"004627-0078",,,,"1934.73",""
"004639-0020",,,,"0.0",""
"005477-0050",,,,"1086.99",""
"007673-0000",,,,"0.0",""
"009304-0015",,,,"0.0",""
"009463-0000",,,,"0.0",""
"013300-0070",,,,"1979.93",""
"016519-2716",,,,"0.0",""
"018069-0000",,,,"2700.61",""
"024746-0000",,,,"0.0",""
"026466-0000",,,,"365.46",""
"002866-0200",,,,"0.0",""
"005756-0085",,,,"0.0",""
"012709-2170",,,,"8455.79",""
"012724-1230",,,,"7329.74",""
"013987-0000",,,,"5461.78",""
"014144-0000",,,,"6446.38",""
"014327-2606",,,,"5648.29",""
"014603-1318",,,,"7287.38",""
"014603-4560",,,,"7070.77",""
"015239-0000",,,,"0.0",""
"016904-0000",,,,"5802.56",""
"017040-0000",,,,"5495.62",""
"017340-0000",,,,"5516.85",""
"018400-0000",,,,"5508.53",""
"020915-0000",,,,"2916.23",""
"023473-0000",,,,"4107.93",""
"023601-0000",,,,"0.0",""
"027332-0000",,,,"0.0",""
"027378-0000",,,,"1343.18",""
"028414-0000",,,,"0.0",""
"148631-0507",,,,"3444.79",""
"076131-0000",,,,"0.0",""
"000354-0000",,,,"1086.76",""
"000355-0000",,,,"190.36",""
"000441-0000",,,,"268.29",""
"002728-0000",,,,"4723.24",""
"003736-0000",,,,"1177.03",""
"019700-0210",,,,"0.0",""
"058235-0000",,,,"0.0",""
"000472-1020",,,,"9592.69",""
"001642-0020",,,,"1536.61",""
"002639-0010",,,,"24.65",""
"003986-0000",,,,"5328.22",""
"004327-0110",,,,"2952.9",""
"004328-0010",,,,"372.48",""
"004329-0020",,,,"792.86",""
"004330-0010",,,,"1586.47",""
"004372-0000",,,,"0.0",""
"004396-0000",,,,"0.0",""
"844269-0000",,,,"0.0",""
"070830-0000",,,,"0.0",""
"071142-0000",,,,"0.0",""
"071507-0000",,,,"0.0",""
"114792-0020",,,,"0.0",""
"122526-0000",,,,"201.45",""
"971395-6700",,,,"0.0",""
"019879-0200",,,,"1466.37",""
"021111-0000",,,,"1968.36",""
"000038-0010",,,,"0.0",""
"000061-0000",,,,"2973.02",""
"000068-0010",,,,"1415.84",""
"000083-0000",,,,"0.0",""
"000178-0000",,,,"0.0",""
"000219-0000",,,,"365.31",""
"000269-0000",,,,"0.0",""
"000305-0010",,,,"0.0",""
"000420-0180",,,,"0.0",""
"002333-1710",,,,"0.0",""
"002333-2015",,,,"0.0",""
"009062-6325",,,,"0.0",""
"013082-0610",,,,"0.0",""
