address,certificate_number,city,face_amount,owner,parcel,scraped_date,source,stage,still_delinquent,total_due,zip
9135 DEVONSHIRE BLVD JACKSONVILLE 32208-,,,2000.56,,038084-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
1801 VALENCIA DR JACKSONVILLE 32207-,,,2000.7,,136318-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32207-
14372 DENTON RD JACKSONVILLE 32226-,,,2001.59,,108094-0610,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32226-
1350 W 26TH ST JACKSONVILLE 32209-,,,2005.06,,086651-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
1650 E COLLEGE CIR JACKSONVILLE 32209-,,,2005.37,,051305-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
3263 NOLAN ST JACKSONVILLE 32254-,,,2005.41,,056996-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32254-
1756 BREWSTER RD JACKSONVILLE 32207-,,,2005.66,,070327-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32207-
5706 MONCRIEF RD JACKSONVILLE 32209-,,,2005.85,,085747-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
1623 E 12TH ST JACKSONVILLE 32206-,,,2005.9,,115655-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32206-
5831 BEGONIA RD JACKSONVILLE 32209-,,,2006.1,,028042-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
9076 1ST AVE JACKSONVILLE 32208-,,,2006.41,,036070-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
2086 KINGS RD JACKSONVILLE 32209-,,,2007.05,,047377-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
3181 BRASQUE DR JACKSONVILLE 32209-,,,2007.2,,030832-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
375 CLARK ST BALDWIN 32234-,,,2008.28,,000502-0010,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32234-
2811 MONCRIEF RD JACKSONVILLE 32209-,,,2009.25,,046709-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
7480 S OLD MIDDLEBURG RD JACKSONVILLE 32222-,,,2009.49,,016355-0100,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32222-
7880 PAUL REVERE DR JACKSONVILLE 32208-,,,2009.84,,024069-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
5514 BOEING DR JACKSONVILLE 32207-,,,2010.2,,153699-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32207-
4510 WILLIAMSBURG AVE JACKSONVILLE 32208-,,,2010.86,,038267-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
1836 ALFEN ST JACKSONVILLE 32254-,,,2010.9,,049987-0010,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32254-
7723 FREE AVE JACKSONVILLE 32211-,,,2011.41,,144251-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32211-
