delinquent_amount,parcel,total_due_verified,verified_date
,038084-0000,4151.53,2026-01-20T22:22:43.175342
,136318-0000,6403.62,2026-01-20T22:22:47.624385
,108094-0610,6294.02,2026-01-20T22:22:52.008837
,086651-0000,6314.94,2026-01-20T22:22:56.363412
,056996-0000,4206.13,2026-01-20T22:23:02.792605
,070327-0000,6283.1,2026-01-20T22:23:07.851744
,085747-0000,2358.14,2026-01-20T22:23:10.662345
,115655-0000,5151.87,2026-01-20T22:23:15.039152
,028042-0000,13598.65,2026-01-20T22:23:21.995740
,047377-0000,3887.77,2026-01-20T22:23:27.414213
,030832-0000,4102.5,2026-01-20T22:23:31.936182
,000502-0010,2085.95,2026-01-20T22:23:34.938070
,046709-0000,4831.71,2026-01-20T22:23:43.905018
,016355-0100,2116.21,2026-01-20T22:23:47.090681
,024069-0000,4228.52,2026-01-20T22:23:51.327813
,153699-0000,4125.8,2026-01-20T22:23:54.861075
,038267-0000,4195.46,2026-01-20T22:23:58.438321
,049987-0010,4190.52,2026-01-20T22:24:02.140626
