"parcel","situs_address","situs_city","situs_zip","total_due_numeric","bill_years"
"022445-0005","","","","2077.48",""
"000882-0000","","","","881.54",""
"002651-1775","","","","729.32",""
"012626-0000","","","","1291.6",""
"015330-0010","","","","2371.45",""
"145159-0020","","","","3544.52",""
"004627-0078","","","","1934.73",""
"005477-0050","","","","1086.99",""
"013300-0070","","","","1979.93",""
"018069-0000","","","","2700.61",""
"026466-0000","","","","365.46",""
"012709-2170","","","","8455.79",""
"012724-1230","","","","7329.74",""
"013987-0000","","","","5461.78",""
"014144-0000","","","","6446.38",""
"014327-2606","","","","5648.29",""
"014603-1318","","","","7287.38",""
"014603-4560","","","","7070.77",""
"016904-0000","","","","5802.56",""
"017040-0000","","","","5495.62",""
"017340-0000","","","","5516.85",""
"018400-0000","","","","5508.53",""
"020915-0000","","","","2916.23",""
"023473-0000","","","","4107.93",""
"027378-0000","","","","1343.18",""
"148631-0507","","","","3444.79",""
"000354-0000","","","","1086.76",""
"000355-0000","","","","190.36",""
"000441-0000","","","","268.29",""
"002728-0000","","","","4723.24",""
"003736-0000","","","","1177.03",""
"000472-1020","","","","9592.69",""
"001642-0020","","","","1536.61",""
"002639-0010","","","","24.65",""
"003986-0000","","","","5328.22",""
"004327-0110","","","","2952.9",""
"004328-0010","","","","372.48",""
"004329-0020","","","","792.86",""
"004330-0010","","","","1586.47",""
"122526-0000","","","","201.45",""
"019879-0200","","","","1466.37",""
"021111-0000","","","","1968.36",""
"000061-0000","","","","2973.02",""
"000068-0010","","","","1415.84",""
"000219-0000","","","","365.31",""
"013274-0130","","","","1647.41",""
"015192-2640","","","","1250.29",""
"015195-1100","","","","1259.97",""
"001006-0180","","","","747.43",""
"011697-0000","","","","3300.58",""
"086213-0000","","","","1600.31",""
"002651-1405","","","","702.62",""
"021834-0000","","","","938.45",""
"021835-0000","","","","313.62",""
"022624-0000","","","","3168.26",""
"041135-0000","","","","1393.39",""
"044617-0000","","","","1606.58",""
"045919-0000","","","","559.4",""
"047990-0000","","","","16124.44",""
"049139-0000","","","","2619.28",""
"049141-0000","","","","2184.58",""
"055347-0000","","","","1883.88",""
"000504-0000","","","","2236.82",""
"003719-0000","","","","383.97",""
"004425-0000","","","","3168.53",""
"005555-0000","","","","854.13",""
"005561-0000","","","","308.27",""
"005561-0010","","","","2039.69",""
"005997-0000","","","","3646.19",""
"014603-6125","","","","1080.07",""
"023770-0000","","","","2066.65",""
"024055-0000","","","","1649.29",""
"024716-0000","","","","752.59",""
"000554-0000","","","","331.55",""
"000971-1202","","","","1216.04",""
"002552-1015","","","","205.25",""
"002552-1025","","","","46.47",""
"002607-0000","","","","1709.88",""
"002610-1900","","","","1997.73",""
"002618-0100","","","","1139.62",""
"003208-0010","","","","2891.25",""
"012947-2030","","","","1573.71",""
"012955-0025","","","","696.23",""
"013030-0100","","","","481.85",""
"013194-0400","","","","492.24",""
"154166-2295","","","","17.22",""
"006393-0100","","","","1008.18",""
"006892-0100","","","","20.81",""
"014272-0730","","","","3286.71",""
"015250-0000","","","","6884.81",""
"020740-0000","","","","5950.67",""
"024586-0000","","","","6909.28",""
"024864-0000","","","","2341.22",""
"000565-0000","","","","261.05",""
"000841-0000","","","","291.77",""
"000869-0000","","","","284.72",""
"002359-0170","","","","881.36",""
"002836-0010","","","","789.77",""
"003099-0000","","","","696.76",""
"005539-0000","","","","1993.73",""
"005540-0000","","","","157.2",""
"005541-0000","","","","157.2",""
"005677-0000","","","","1968.72",""
"010726-0090","","","","7.23",""
"162927-0000","","","","5118.24",""
"015020-0000","","","","3734.63",""
"019701-3030","","","","3146.47",""
"019701-3510","","","","3080.8",""
"027769-0010","","","","301.14",""
"029974-0030","","","","1172.48",""
"165289-2040","","","","2208.94",""
"003673-0000","","","","1328.6",""
"012375-0000","","","","601.42",""
"019314-0000","","","","1121.17",""
"005274-0000","","","","2468.54",""
"011695-0000","","","","5954.32",""
"022040-0050","","","","567.26",""
"027181-0000","","","","334.27",""
"027859-0000","","","","474.07",""
"046052-0000","","","","394.04",""
"046053-0000","","","","394.04",""
"002190-0000","","","","813.54",""
"002191-0000","","","","1793.75",""
"038753-0000","","","","4472.32",""
"045713-0000","","","","2374.77",""
"045980-0000","","","","2835.32",""
"053218-0000","","","","1514.72",""
"073196-0000","","","","2263.52",""
"062521-0000","","","","3522.71",""
"134012-0015","","","","17126.43",""
"168378-0060","","","","1581.97",""
"168420-0000","","","","375.23",""
"168429-0000","","","","793.82",""
"073902-0090","","","","4358.27",""
"077172-0000","","","","6402.17",""
"096586-0000","","","","2379.29",""
"111347-0000","","","","8644.28",""
"004884-0000","","","","5128.18",""
"007525-0000","","","","1023.66",""
"013208-0050","","","","376.53",""
"013208-0060","","","","639.55",""
"013208-0070","","","","372.65",""
"013208-0080","","","","526.09",""
"013308-0010","","","","659.0",""
"013308-0014","","","","338.02",""
"001744-0020","","","","973.19",""
"001860-2220","","","","15824.07",""
"001778-0010","","","","15785.49",""
"003261-0000","","","","3838.11",""
"013211-0130","","","","955.21",""
"016519-1090","","","","4121.25",""
"034128-0000","","","","10579.9",""
"049111-0000","","","","2925.08",""
"006063-0350","","","","4661.23",""
"006968-0000","","","","2068.12",""
"086968-0000","","","","475.62",""
"088103-0000","","","","1261.13",""
"088877-0000","","","","639.36",""
"003255-0005","","","","1739.27",""
"014498-0000","","","","3254.02",""
"019622-0130","","","","7092.11",""
"055494-0000","","","","656.48",""
"057138-0005","","","","4429.58",""
"057138-0015","","","","402.38",""
"058983-0010","","","","5080.22",""
"063414-0050","","","","2018.61",""
"128312-0010","","","","2524.94",""
"173539-0000","","","","2009.69",""
"023607-0000","","","","1675.68",""
"073161-0000","","","","2997.81",""
"148657-1674","","","","1840.23",""
"149206-0380","","","","2825.03",""
"167745-7048","","","","2461.46",""
