parcel_or_account,address,owner,case_or_file,notice_date,sale_or_auction_date,source_file
076629-0000,647 N MYRTLE AVE,,2023-0629TD,01/14/2026,01/14/2026,auction_clean.csv
065618-0005,1285 AZALEA DR,,2025-0801TD,01/14/2026,01/14/2026,auction_clean.csv
107649-0135,LYLE RD,,2025-0802TD,01/14/2026,01/14/2026,auction_clean.csv
059409-0000,5525 HARROLD AVE,,2025-0830TD,01/14/2026,01/14/2026,auction_clean.csv
122202-0000,906 SPEARING ST,,2025-0831TD,01/14/2026,01/14/2026,auction_clean.csv
001390-0020,1388 OTIS RD,,2025-0778TD,01/14/2026,01/14/2026,auction_clean.csv
021113-0000,10213 BEAM ST,,2025-0779TD,01/14/2026,01/14/2026,auction_clean.csv
070815-0000,0 W 2ND ST,,2025-0735TD,01/14/2026,01/14/2026,auction_clean.csv
076063-0005,1561 W UNION ST,,2025-0805TD,01/14/2026,01/14/2026,auction_clean.csv
167745-2744,7801 POINT MEADOWS DR 7303,,2025-0736TD,01/14/2026,01/14/2026,auction_clean.csv
082079-0000,1616 ARCADIA PL,,2025-0737TD,01/14/2026,01/14/2026,auction_clean.csv
041680-0000,4340 JEROME AVE,,2025-0758TD,01/14/2026,01/14/2026,auction_clean.csv
058927-0000,3603 LENOX AVE,,2025-0759TD,01/14/2026,01/14/2026,auction_clean.csv
019690-0008,1160 E DUVAL COURT RD,,2025-0761TD,01/14/2026,01/14/2026,auction_clean.csv
015958-0000,0 RAMPART RD,,2025-0762TD,01/14/2026,01/14/2026,auction_clean.csv
145178-0015,CORPORATE SQUARE BLVD,,2025-0794TD,01/14/2026,01/14/2026,auction_clean.csv
059148-0100,5179 BROADWAY AVE,,2025-0813TD,01/14/2026,01/14/2026,auction_clean.csv
168124-1400,13942 MOLINA DR,,2025-0814TD,01/14/2026,01/14/2026,auction_clean.csv
086783-0000,1498 W 22ND ST,,2025-0787TD,01/14/2026,01/14/2026,auction_clean.csv
163960-0000,2639 CORTEZ RD,,2025-0798TD,01/14/2026,01/14/2026,auction_clean.csv
047972-0000,2545 RICKENBACKER ST,,2025-0836TD,01/14/2026,01/14/2026,auction_clean.csv
039709-0020,HARBOR VIEW DR,,2025-0837TD,01/14/2026,01/14/2026,auction_clean.csv
088810-0000,1197 W 24TH ST,,2025-0838TD,01/14/2026,01/14/2026,auction_clean.csv
113987-0000,1964 PHOENIX AVE,,2025-0786TD,01/14/2026,01/14/2026,auction_clean.csv
089737-0000,2274 CALVIN ST,,2025-0790TD,01/14/2026,01/14/2026,auction_clean.csv
144256-0100,GALVESTON AVE,,2025-0791TD,01/14/2026,01/14/2026,auction_clean.csv
115473-0000,1837 E 11TH ST,,2025-0792TD,01/14/2026,01/14/2026,auction_clean.csv
053859-0000,1436 EAVERSON ST,,2025-0781TD,01/14/2026,01/14/2026,auction_clean.csv
003898-0020,NEW KINGS RD 1,,2025-0832TD,01/14/2026,01/14/2026,auction_clean.csv
040550-0000,0 POPE PL,,2025-0833TD,01/14/2026,01/14/2026,auction_clean.csv
029942-0600,RIBAULT AVE,,2025-0834TD,01/14/2026,01/14/2026,auction_clean.csv
035712-0005,419 W 61ST ST,,2025-0702TD,01/14/2026,01/14/2026,auction_clean.csv
127532-0000,3620 CEDAR DR,,2025-0703TD,01/14/2026,01/14/2026,auction_clean.csv
097568-0000,5866 LA MOYA AVE,,2025-0704TD,01/14/2026,01/14/2026,auction_clean.csv
157180-0120,5562 ALDEN BRIDGE DR,,2025-0716TD,01/14/2026,01/14/2026,auction_clean.csv
027637-0000,3841 ELBERT AVE,,2025-0800TD,01/14/2026,01/14/2026,auction_clean.csv
167747-1134,7990 E BAYMEADOWS RD 1006,,2025-0706TD,01/14/2026,01/14/2026,auction_clean.csv
063993-0000,2984 MYRA ST,,2025-0797TD,01/14/2026,01/14/2026,auction_clean.csv
105804-0035,12339 WOODSIDE LN,,2025-0823TD,01/14/2026,01/14/2026,auction_clean.csv
099001-0000,BLANDING BLVD,,2025-0835TD,01/14/2026,01/14/2026,auction_clean.csv
064889-0000,2678 ERNEST ST,,2024-1182TD,01/14/2026,01/14/2026,auction_clean.csv
021336-0010,MATTOX AVE,,2025-0793TD,01/14/2026,01/14/2026,auction_clean.csv
000444-0160,FRANKLIN ST,,2025-0806TD,01/14/2026,01/14/2026,auction_clean.csv
004033-0030,WEST MAIN ST,,2025-0808TD,01/14/2026,01/14/2026,auction_clean.csv
004033-0020,WEST MAIN ST,,2025-0809TD,01/14/2026,01/14/2026,auction_clean.csv
005879-0010,8308 PASCHAL ST,,2025-0810TD,01/14/2026,01/14/2026,auction_clean.csv
162968-0000,N BROOKVIEW DR,,2025-0789TD,01/14/2026,01/14/2026,auction_clean.csv
038668-0000,4812 DALLEN LEA DR,,2025-0799TD,01/14/2026,01/14/2026,auction_clean.csv
005879-0020,563 HAMMOND BLVD,,2025-0811TD,01/14/2026,01/14/2026,auction_clean.csv
019702-0200,N TURTLE CREEK DR,,2025-0812TD,01/14/2026,01/14/2026,auction_clean.csv
132177-0000,E 26TH ST,,2025-0780TD,01/14/2026,01/14/2026,auction_clean.csv
003492-0010,6685 BARNEY RD,,2025-0714TD,01/14/2026,01/14/2026,auction_clean.csv
046205-0000,1616 W 17TH ST,,2025-0764TD,01/14/2026,01/14/2026,auction_clean.csv
131648-0000,E 25TH ST,,2025-0765TD,01/14/2026,01/14/2026,auction_clean.csv
158911-1002,3391 MARBON RD,,2025-0766TD,01/14/2026,01/14/2026,auction_clean.csv
085042-0000,1576 W 34TH ST,,2025-0767TD,01/14/2026,01/14/2026,auction_clean.csv
006130-0100,0 PASCHAL ST,,2025-0731TD,01/14/2026,01/14/2026,auction_clean.csv
033197-0002,TROUT RIVER DR,,2025-0816TD,01/14/2026,01/14/2026,auction_clean.csv
014459-0020,118TH ST,,2025-0817TD,01/14/2026,01/14/2026,auction_clean.csv
156813-0000,11528 AYALA RD,,2025-0770TD,01/14/2026,01/14/2026,auction_clean.csv
072511-0000,CLARK ST,,2025-0771TD,01/14/2026,01/14/2026,auction_clean.csv
033420-0000,734 E 60TH ST,,2025-0773TD,01/14/2026,01/14/2026,auction_clean.csv
124521-0000,3757 E EVE DR,,2025-0818TD,01/14/2026,01/14/2026,auction_clean.csv
049465-0000,1003 HOOD AVE,,2025-0819TD,01/14/2026,01/14/2026,auction_clean.csv
156653-0010,PINE ST,,2025-0820TD,01/14/2026,01/14/2026,auction_clean.csv
154248-0100,TOUCHTON RD,,2025-0821TD,01/14/2026,01/14/2026,auction_clean.csv
147264-0000,2533 JERNIGAN RD,,2025-0774TD,01/14/2026,01/14/2026,auction_clean.csv
055870-0028,2324 BROADWAY AVE,,2025-0775TD,01/14/2026,01/14/2026,auction_clean.csv
016314-1750,6877 KETTLE CREEK DR,,2025-0776TD,01/14/2026,01/14/2026,auction_clean.csv
130487-0000,WESTMONT ST,,2025-0700TD,01/14/2026,01/14/2026,auction_clean.csv
131556-0000,1811 E 25TH ST,,2025-0777TD,01/14/2026,01/14/2026,auction_clean.csv
057231-0030,248 S MCDUFF AVE,,2025-0822TD,01/14/2026,01/14/2026,auction_clean.csv
002813-0010,8945 OLD KINGS RD,,2025-0732TD,01/14/2026,01/14/2026,auction_clean.csv
174454-0000,402 N 9TH AVE,,2025-0733TD,01/14/2026,01/14/2026,auction_clean.csv
103185-0100,5532 ORTEGA FARMS BLVD,,2025-0815TD,01/14/2026,01/14/2026,auction_clean.csv
005629-0100,8025 HAMMOND BLVD,,2025-0720TD,01/14/2026,01/14/2026,auction_clean.csv
025799-0000,2820 AUBREY AVE,,2025-0721TD,01/14/2026,01/14/2026,auction_clean.csv
067005-0000,1339 S ELLIS RD,,2025-0722TD,01/14/2026,01/14/2026,auction_clean.csv
118873-0000,7415 ELVIA DR,,2025-0723TD,01/14/2026,01/14/2026,auction_clean.csv
098380-3925,5569 N LAFAYETTE PARK DR,,2025-0724TD,01/14/2026,01/14/2026,auction_clean.csv
